className,loc,authorsNumber,revisionsNumber,touchedLoc,totalAddedLines,averageAddedLines,maxAddedLines,totalChurn,maxChurn,numberFix,cyclomaticComplexity,averageChurn,daysBetweenCommits,buggy
"src/java/org/apache/avro/AvroRuntimeException.java",24,1,2,48,48,24.0,24,48,24,0,1,24.0,0.0,false
"src/java/org/apache/avro/AvroTypeException.java",25,1,3,59,56,18.666666,28,59,28,0,1,19.666666,30.0,false
"src/java/org/apache/avro/Protocol.java",339,1,12,813,726,60.5,300,677,300,0,57,56.416668,6.454545454545454,false
"src/java/org/apache/avro/Schema.java",725,1,15,1648,1412,94.13333,451,1286,451,0,154,85.73333,5.071428571428571,false
"src/java/org/apache/avro/SchemaParseException.java",24,1,2,48,48,24.0,24,48,24,0,1,24.0,0.0,false
"src/java/org/apache/avro/file/DataFileReader.java",218,1,5,466,446,89.2,208,428,208,0,40,85.6,18.75,false
"src/java/org/apache/avro/file/DataFileWriter.java",193,1,5,402,389,77.8,183,376,183,0,18,75.2,18.75,true
"src/java/org/apache/avro/file/SeekableFileInput.java",32,1,2,64,64,32.0,32,64,32,0,5,32.0,0.0,false
"src/java/org/apache/avro/file/SeekableInput.java",36,1,2,72,72,36.0,36,72,36,0,5,36.0,0.0,true
"src/java/org/apache/avro/generic/GenericArray.java",36,1,3,75,74,24.666666,37,75,37,0,1,25.0,30.0,false
"src/java/org/apache/avro/generic/GenericData.java",279,1,9,569,549,61.0,250,545,250,0,97,60.555557,7.5,false
"src/java/org/apache/avro/generic/GenericDatumReader.java",462,1,14,1483,1105,78.92857,265,1087,265,0,130,77.64286,6.384615384615385,true
"src/java/org/apache/avro/generic/GenericDatumWriter.java",252,1,8,541,479,59.875,164,433,164,0,52,54.125,10.714285714285714,true
"src/java/org/apache/avro/generic/GenericFixed.java",24,1,1,24,24,24.0,24,24,24,0,1,24.0,0.0,false
"src/java/org/apache/avro/generic/GenericRecord.java",28,1,2,56,56,28.0,28,56,28,0,1,28.0,0.0,false
"src/java/org/apache/avro/generic/GenericRequestor.java",57,1,5,144,129,25.8,57,128,57,0,5,25.6,18.75,false
"src/java/org/apache/avro/generic/GenericResponder.java",54,1,4,135,121,30.25,53,111,53,0,4,27.75,25.0,false
"src/java/org/apache/avro/io/BinaryDecoder.java",300,1,2,310,305,152.5,305,310,305,0,53,155.0,2.0,false
"src/java/org/apache/avro/io/BinaryEncoder.java",250,1,2,282,266,133.0,266,282,266,0,30,141.0,2.0,false
"src/java/org/apache/avro/io/BlockingBinaryEncoder.java",622,1,1,622,622,622.0,622,622,622,0,85,622.0,0.0,true
"src/java/org/apache/avro/io/DatumReader.java",37,1,4,85,81,20.25,39,79,39,0,2,19.75,25.0,false
"src/java/org/apache/avro/io/DatumWriter.java",35,1,4,79,75,18.75,36,73,36,0,2,18.25,25.0,false
"src/java/org/apache/avro/io/Decoder.java",287,1,2,291,289,144.5,279,289,279,0,23,144.5,2.0,false
